TaskLabel,CompetencyRoles,DecimalHours,TaskDescription,gpt-4,gpt-4_reason,gpt-4o,gpt-4o_reason,gpt-3.5-turbo,gpt-3.5-turbo_reason,gpt-3.5-turbo-1106,gpt-3.5-turbo-1106_reason,gpt-4-0613,gpt-4-0613_reason
Code Review,Software Engineer,0.5,New competency dashboard code review (my growth chart),fail,No links or references provided in the description.,fail,Description lacks context and references or links.,fail,Description lacks context and specific details on the competency dashboard code review.,fail,Description lacks context and doesn't provide clear information about the task.,fail,No links or references provided.
Code Review,Software Engineer,0.5,New competency dashboard code review (my growth chart),fail,No links or references provided in the description.,fail,Description lacks context and references or links.,fail,Description lacks context and specific details on the competency dashboard code review.,fail,Description lacks context and doesn't provide clear information about the task.,fail,No links or references provided.
Code Review,Software Engineer,0.5,New competency dashboard code review (my growth chart),fail,No links or references provided in the description.,fail,Description lacks context and references or links.,fail,Description lacks context and specific details on the competency dashboard code review.,fail,Description lacks context and doesn't provide clear information about the task.,fail,No links or references provided.
Code Review,Software Engineer,0.5,New competency dashboard code review (my growth chart),fail,No links or references provided in the description.,fail,Description lacks context and references or links.,fail,Description lacks context and specific details on the competency dashboard code review.,fail,Description lacks context and doesn't provide clear information about the task.,fail,No links or references provided.
Code Review,Software Engineer,0.5,New competency dashboard code review (my growth chart),fail,No links or references provided in the description.,fail,Description lacks context and references or links.,fail,Description lacks context and specific details on the competency dashboard code review.,fail,Description lacks context and doesn't provide clear information about the task.,fail,No links or references provided.
Debugging,Software Engineer,1.0,P0#MID-32800: Provided Update on QA issues.,fail,Missing links or references related to the task.,fail,Missing links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Missing links or references related to the task.
Debugging,Software Engineer,1.0,P0#MID-32800: Provided Update on QA issues.,fail,Missing links or references related to the task.,fail,Missing links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Missing links or references related to the task.
Debugging,Software Engineer,1.0,P0#MID-32800: Provided Update on QA issues.,fail,Missing links or references related to the task.,fail,Missing links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Missing links or references related to the task.
Debugging,Software Engineer,1.0,P0#MID-32800: Provided Update on QA issues.,fail,Missing links or references related to the task.,fail,Missing links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Missing links or references related to the task.
Debugging,Software Engineer,1.0,P0#MID-32800: Provided Update on QA issues.,fail,Missing links or references related to the task.,fail,Missing links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Missing links or references related to the task.
Course Authoring,Course Author,0.25,Chapter 8: Text updated in teacher page + verifying with book.,fail,No links or references provided in the task.,fail,Lacks links or references related to the task.,fail,Lacks specific details and references for verification.,fail,Description lacks clarity and context. No mention of specific updates or verification process.,fail,No links or references included in the description.
Course Authoring,Course Author,0.25,Chapter 8: Text updated in teacher page + verifying with book.,fail,No links or references provided in the task.,fail,Lacks links or references related to the task.,fail,Lacks specific details and references for verification.,fail,Description lacks clarity and context. No mention of specific updates or verification process.,fail,No links or references included in the description.
Course Authoring,Course Author,0.25,Chapter 8: Text updated in teacher page + verifying with book.,fail,No links or references provided in the task.,fail,Lacks links or references related to the task.,fail,Lacks specific details and references for verification.,fail,Description lacks clarity and context. No mention of specific updates or verification process.,fail,No links or references included in the description.
Course Authoring,Course Author,0.25,Chapter 8: Text updated in teacher page + verifying with book.,fail,No links or references provided in the task.,fail,Lacks links or references related to the task.,fail,Lacks specific details and references for verification.,fail,Description lacks clarity and context. No mention of specific updates or verification process.,fail,No links or references included in the description.
Course Authoring,Course Author,0.25,Chapter 8: Text updated in teacher page + verifying with book.,fail,No links or references provided in the task.,fail,Lacks links or references related to the task.,fail,Lacks specific details and references for verification.,fail,Description lacks clarity and context. No mention of specific updates or verification process.,fail,No links or references included in the description.
Debugging,Data Engineer,2.0,"Debugged Biotime record for amna maqbool, did RCA on it. discussed interesting findings with irfan",fail,No links or references related to the task.,fail,Missing links or references related to the task.,fail,Lacks specific details and references for RCA and findings discussion.,fail,Lacks context and specific details about the findings or the RCA process.,fail,No links or references related to the task.
Debugging,Data Engineer,2.0,"Debugged Biotime record for amna maqbool, did RCA on it. discussed interesting findings with irfan",fail,No links or references related to the task.,fail,Missing links or references related to the task.,fail,Lacks specific details and references for RCA and findings discussion.,fail,Lacks context and specific details about the findings or the RCA process.,fail,No links or references related to the task.
Debugging,Data Engineer,2.0,"Debugged Biotime record for amna maqbool, did RCA on it. discussed interesting findings with irfan",fail,No links or references related to the task.,fail,Missing links or references related to the task.,fail,Lacks specific details and references for RCA and findings discussion.,fail,Lacks context and specific details about the findings or the RCA process.,fail,No links or references related to the task.
Debugging,Data Engineer,2.0,"Debugged Biotime record for amna maqbool, did RCA on it. discussed interesting findings with irfan",fail,No links or references related to the task.,fail,Missing links or references related to the task.,fail,Lacks specific details and references for RCA and findings discussion.,fail,Lacks context and specific details about the findings or the RCA process.,fail,No links or references related to the task.
Debugging,Data Engineer,2.0,"Debugged Biotime record for amna maqbool, did RCA on it. discussed interesting findings with irfan",fail,No links or references related to the task.,fail,Missing links or references related to the task.,fail,Lacks specific details and references for RCA and findings discussion.,fail,Lacks context and specific details about the findings or the RCA process.,fail,No links or references related to the task.
Testing,QA,0.5,"Verified ""1757 [Bug][P1] - In Extraction Criteria → Filter → Select Field dropdown, when a user changes the selected field, the corresponding filter in the query box gets appended instead of replacing the previous one."" on QA",fail,No links or references included.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,No references or links provided in the task.
Testing,QA,0.5,"Verified ""1757 [Bug][P1] - In Extraction Criteria → Filter → Select Field dropdown, when a user changes the selected field, the corresponding filter in the query box gets appended instead of replacing the previous one."" on QA",fail,No links or references included.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,No references or links provided in the task.
Testing,QA,0.5,"Verified ""1757 [Bug][P1] - In Extraction Criteria → Filter → Select Field dropdown, when a user changes the selected field, the corresponding filter in the query box gets appended instead of replacing the previous one."" on QA",fail,No links or references included.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,No references or links provided in the task.
Testing,QA,0.5,"Verified ""1757 [Bug][P1] - In Extraction Criteria → Filter → Select Field dropdown, when a user changes the selected field, the corresponding filter in the query box gets appended instead of replacing the previous one."" on QA",fail,No links or references included.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,No references or links provided in the task.
Testing,QA,0.5,"Verified ""1757 [Bug][P1] - In Extraction Criteria → Filter → Select Field dropdown, when a user changes the selected field, the corresponding filter in the query box gets appended instead of replacing the previous one."" on QA",fail,No links or references included.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,No references or links provided in the task.
Coding,Software Engineer,2.0,PROD-3295: Field Tracker for Programs: Implementation: Propagate Course Changes to Program,fail,No links or references related to the task.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,No links or references related to the task.
Coding,Software Engineer,2.0,PROD-3295: Field Tracker for Programs: Implementation: Propagate Course Changes to Program,fail,No links or references related to the task.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,No links or references related to the task.
Coding,Software Engineer,2.0,PROD-3295: Field Tracker for Programs: Implementation: Propagate Course Changes to Program,fail,No links or references related to the task.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,No links or references related to the task.
Coding,Software Engineer,2.0,PROD-3295: Field Tracker for Programs: Implementation: Propagate Course Changes to Program,fail,No links or references related to the task.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,No links or references related to the task.
Coding,Software Engineer,2.0,PROD-3295: Field Tracker for Programs: Implementation: Propagate Course Changes to Program,fail,No links or references related to the task.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,No links or references related to the task.
Meeting,Software Engineer,1.08,Huddle with bilal.ahmad02 on lesson chapter creation issue and fix,fail,Description lacks links or references related to the task.,fail,Description lacks links or references.,fail,Lacks clarity and context about the issue discussed with Bilal.ahmad02.,fail,Lacks specific details and context about the issue and resolution discussed in the huddle.,fail,No links or references related to the task included.
Meeting,Software Engineer,1.08,Huddle with bilal.ahmad02 on lesson chapter creation issue and fix,fail,Description lacks links or references related to the task.,fail,Description lacks links or references.,fail,Lacks clarity and context about the issue discussed with Bilal.ahmad02.,fail,Lacks specific details and context about the issue and resolution discussed in the huddle.,fail,No links or references related to the task included.
Meeting,Software Engineer,1.08,Huddle with bilal.ahmad02 on lesson chapter creation issue and fix,fail,Description lacks links or references related to the task.,fail,Description lacks links or references.,fail,Lacks clarity and context about the issue discussed with Bilal.ahmad02.,fail,Lacks specific details and context about the issue and resolution discussed in the huddle.,fail,No links or references related to the task included.
Meeting,Software Engineer,1.08,Huddle with bilal.ahmad02 on lesson chapter creation issue and fix,fail,Description lacks links or references related to the task.,fail,Description lacks links or references.,fail,Lacks clarity and context about the issue discussed with Bilal.ahmad02.,fail,Lacks specific details and context about the issue and resolution discussed in the huddle.,fail,No links or references related to the task included.
Meeting,Software Engineer,1.08,Huddle with bilal.ahmad02 on lesson chapter creation issue and fix,fail,Description lacks links or references related to the task.,fail,Description lacks links or references.,fail,Lacks clarity and context about the issue discussed with Bilal.ahmad02.,fail,Lacks specific details and context about the issue and resolution discussed in the huddle.,fail,No links or references related to the task included.
Documentation,Software Engineer,0.17,Sent the invite to cell-soft for tuesday 8:30 am tomorrow.,fail,Description does not include any links or references.,fail,Lacks context and references or links.,fail,"Lacks context and details like purpose, recipient, or method of sending the invite.",fail,Description lacks context and does not include relevant links or references.,fail,No links or references included in the task.
Documentation,Software Engineer,0.17,Sent the invite to cell-soft for tuesday 8:30 am tomorrow.,fail,Description does not include any links or references.,fail,Lacks context and references or links.,fail,"Lacks context and details like purpose, recipient, or method of sending the invite.",fail,Description lacks context and does not include relevant links or references.,fail,No links or references included in the task.
Documentation,Software Engineer,0.17,Sent the invite to cell-soft for tuesday 8:30 am tomorrow.,fail,Description does not include any links or references.,fail,Lacks context and references or links.,fail,"Lacks context and details like purpose, recipient, or method of sending the invite.",fail,Description lacks context and does not include relevant links or references.,fail,No links or references included in the task.
Documentation,Software Engineer,0.17,Sent the invite to cell-soft for tuesday 8:30 am tomorrow.,fail,Description does not include any links or references.,fail,Lacks context and references or links.,fail,"Lacks context and details like purpose, recipient, or method of sending the invite.",fail,Description lacks context and does not include relevant links or references.,fail,No links or references included in the task.
Documentation,Software Engineer,0.17,Sent the invite to cell-soft for tuesday 8:30 am tomorrow.,fail,Description does not include any links or references.,fail,Lacks context and references or links.,fail,"Lacks context and details like purpose, recipient, or method of sending the invite.",fail,Description lacks context and does not include relevant links or references.,fail,No links or references included in the task.
Course Authoring,Course Author,0.58,"G4 C9: Dua, Islamic nukta nazar slides updated.",fail,No links or references included in the description.,fail,Lacks links or references related to the task.,fail,"Description lacks clarity and context, missing links or references to the task.",fail,Description lacks context and clarity. It's unclear what the task is about and what updates were made.,fail,No links or references related to the task.
Course Authoring,Course Author,0.58,"G4 C9: Dua, Islamic nukta nazar slides updated.",fail,No links or references included in the description.,fail,Lacks links or references related to the task.,fail,"Description lacks clarity and context, missing links or references to the task.",fail,Description lacks context and clarity. It's unclear what the task is about and what updates were made.,fail,No links or references related to the task.
Course Authoring,Course Author,0.58,"G4 C9: Dua, Islamic nukta nazar slides updated.",fail,No links or references included in the description.,fail,Lacks links or references related to the task.,fail,"Description lacks clarity and context, missing links or references to the task.",fail,Description lacks context and clarity. It's unclear what the task is about and what updates were made.,fail,No links or references related to the task.
Course Authoring,Course Author,0.58,"G4 C9: Dua, Islamic nukta nazar slides updated.",fail,No links or references included in the description.,fail,Lacks links or references related to the task.,fail,"Description lacks clarity and context, missing links or references to the task.",fail,Description lacks context and clarity. It's unclear what the task is about and what updates were made.,fail,No links or references related to the task.
Course Authoring,Course Author,0.58,"G4 C9: Dua, Islamic nukta nazar slides updated.",fail,No links or references included in the description.,fail,Lacks links or references related to the task.,fail,"Description lacks clarity and context, missing links or references to the task.",fail,Description lacks context and clarity. It's unclear what the task is about and what updates were made.,fail,No links or references related to the task.
Standup,QA,0.5,Charge Code [Z8107430] - [Reporting & Impact (Build)][DOMOAcademy Data Team Daily Scrum Meeting,fail,Missing links or references related to task.,fail,Lacks context and does not include links or references.,fail,Description lacks context and specific details.,fail,Description lacks clarity and context.,fail,Missing links or references related to the task.
Standup,QA,0.5,Charge Code [Z8107430] - [Reporting & Impact (Build)][DOMOAcademy Data Team Daily Scrum Meeting,fail,Missing links or references related to task.,fail,Lacks context and does not include links or references.,fail,Description lacks context and specific details.,fail,Description lacks clarity and context.,fail,Missing links or references related to the task.
Standup,QA,0.5,Charge Code [Z8107430] - [Reporting & Impact (Build)][DOMOAcademy Data Team Daily Scrum Meeting,fail,Missing links or references related to task.,fail,Lacks context and does not include links or references.,fail,Description lacks context and specific details.,fail,Description lacks clarity and context.,fail,Missing links or references related to the task.
Standup,QA,0.5,Charge Code [Z8107430] - [Reporting & Impact (Build)][DOMOAcademy Data Team Daily Scrum Meeting,fail,Missing links or references related to task.,fail,Lacks context and does not include links or references.,fail,Description lacks context and specific details.,fail,Description lacks clarity and context.,fail,Missing links or references related to the task.
Standup,QA,0.5,Charge Code [Z8107430] - [Reporting & Impact (Build)][DOMOAcademy Data Team Daily Scrum Meeting,fail,Missing links or references related to task.,fail,Lacks context and does not include links or references.,fail,Description lacks context and specific details.,fail,Description lacks clarity and context.,fail,Missing links or references related to the task.
Coding,Software Engineer,0.5,HealthKit steps fetching process code clean,fail,Description lacks context and does not include any links or references.,fail,Description lacks context and references.,fail,Description lacks details and specific tasks related to HealthKit steps fetching process.,fail,Description lacks context and specific details about the HealthKit steps fetching process.,fail,Description lacks context and reference links.
Coding,Software Engineer,0.5,HealthKit steps fetching process code clean,fail,Description lacks context and does not include any links or references.,fail,Description lacks context and references.,fail,Description lacks details and specific tasks related to HealthKit steps fetching process.,fail,Description lacks context and specific details about the HealthKit steps fetching process.,fail,Description lacks context and reference links.
Coding,Software Engineer,0.5,HealthKit steps fetching process code clean,fail,Description lacks context and does not include any links or references.,fail,Description lacks context and references.,fail,Description lacks details and specific tasks related to HealthKit steps fetching process.,fail,Description lacks context and specific details about the HealthKit steps fetching process.,fail,Description lacks context and reference links.
Coding,Software Engineer,0.5,HealthKit steps fetching process code clean,fail,Description lacks context and does not include any links or references.,fail,Description lacks context and references.,fail,Description lacks details and specific tasks related to HealthKit steps fetching process.,fail,Description lacks context and specific details about the HealthKit steps fetching process.,fail,Description lacks context and reference links.
Coding,Software Engineer,0.5,HealthKit steps fetching process code clean,fail,Description lacks context and does not include any links or references.,fail,Description lacks context and references.,fail,Description lacks details and specific tasks related to HealthKit steps fetching process.,fail,Description lacks context and specific details about the HealthKit steps fetching process.,fail,Description lacks context and reference links.
Testing,QA,0.67,Title and info icon alignment and scrolling issue bug.,fail,No links or references related to the task included.,fail,Description lacks context and references or links.,fail,Lacks specificity and details about the issue.,fail,"Description lacks clarity and context, does not mention the task's alignment and scrolling issues.",fail,No links or references provided in description.
Testing,QA,0.67,Title and info icon alignment and scrolling issue bug.,fail,No links or references related to the task included.,fail,Description lacks context and references or links.,fail,Lacks specificity and details about the issue.,fail,"Description lacks clarity and context, does not mention the task's alignment and scrolling issues.",fail,No links or references provided in description.
Testing,QA,0.67,Title and info icon alignment and scrolling issue bug.,fail,No links or references related to the task included.,fail,Description lacks context and references or links.,fail,Lacks specificity and details about the issue.,fail,"Description lacks clarity and context, does not mention the task's alignment and scrolling issues.",fail,No links or references provided in description.
Testing,QA,0.67,Title and info icon alignment and scrolling issue bug.,fail,No links or references related to the task included.,fail,Description lacks context and references or links.,fail,Lacks specificity and details about the issue.,fail,"Description lacks clarity and context, does not mention the task's alignment and scrolling issues.",fail,No links or references provided in description.
Testing,QA,0.67,Title and info icon alignment and scrolling issue bug.,fail,No links or references related to the task included.,fail,Description lacks context and references or links.,fail,Lacks specificity and details about the issue.,fail,"Description lacks clarity and context, does not mention the task's alignment and scrolling issues.",fail,No links or references provided in description.
User Testing,Software Engineer,1.58,"psb - results, supervisor tags, nationals registration, receipts",fail,Description lacks context and references.,fail,Description lacks context and references.,fail,"Description lacks clarity and context, doesn't include details or links related to the mentioned tasks.",fail,Description is unclear and lacks context and references related to the task.,fail,Description lacks context and references.
User Testing,Software Engineer,1.58,"psb - results, supervisor tags, nationals registration, receipts",fail,Description lacks context and references.,fail,Description lacks context and references.,fail,"Description lacks clarity and context, doesn't include details or links related to the mentioned tasks.",fail,Description is unclear and lacks context and references related to the task.,fail,Description lacks context and references.
User Testing,Software Engineer,1.58,"psb - results, supervisor tags, nationals registration, receipts",fail,Description lacks context and references.,fail,Description lacks context and references.,fail,"Description lacks clarity and context, doesn't include details or links related to the mentioned tasks.",fail,Description is unclear and lacks context and references related to the task.,fail,Description lacks context and references.
User Testing,Software Engineer,1.58,"psb - results, supervisor tags, nationals registration, receipts",fail,Description lacks context and references.,fail,Description lacks context and references.,fail,"Description lacks clarity and context, doesn't include details or links related to the mentioned tasks.",fail,Description is unclear and lacks context and references related to the task.,fail,Description lacks context and references.
User Testing,Software Engineer,1.58,"psb - results, supervisor tags, nationals registration, receipts",fail,Description lacks context and references.,fail,Description lacks context and references.,fail,"Description lacks clarity and context, doesn't include details or links related to the mentioned tasks.",fail,Description is unclear and lacks context and references related to the task.,fail,Description lacks context and references.
Reporting/Analysis,QA,0.42,Share the performance testing based flows with naveed saleem over the slack,fail,No links or references related to the task are included.,fail,Description lacks links or references and context.,fail,"Lacks clarity and specifics, no mention of performance testing or related flows.",fail,Lacks specific details and context about the performance testing based flows.,fail,No links or references provided.
Reporting/Analysis,QA,0.42,Share the performance testing based flows with naveed saleem over the slack,fail,No links or references related to the task are included.,fail,Description lacks links or references and context.,fail,"Lacks clarity and specifics, no mention of performance testing or related flows.",fail,Lacks specific details and context about the performance testing based flows.,fail,No links or references provided.
Reporting/Analysis,QA,0.42,Share the performance testing based flows with naveed saleem over the slack,fail,No links or references related to the task are included.,fail,Description lacks links or references and context.,fail,"Lacks clarity and specifics, no mention of performance testing or related flows.",fail,Lacks specific details and context about the performance testing based flows.,fail,No links or references provided.
Reporting/Analysis,QA,0.42,Share the performance testing based flows with naveed saleem over the slack,fail,No links or references related to the task are included.,fail,Description lacks links or references and context.,fail,"Lacks clarity and specifics, no mention of performance testing or related flows.",fail,Lacks specific details and context about the performance testing based flows.,fail,No links or references provided.
Reporting/Analysis,QA,0.42,Share the performance testing based flows with naveed saleem over the slack,fail,No links or references related to the task are included.,fail,Description lacks links or references and context.,fail,"Lacks clarity and specifics, no mention of performance testing or related flows.",fail,Lacks specific details and context about the performance testing based flows.,fail,No links or references provided.
Documentation,IT,0.5,IP Assignment - Main Office - Lahore,fail,No links or references provided in the task.,fail,Description lacks context and references.,pass,Complete description.,pass,Complete description.,fail,No links or references provided in the description.
Documentation,IT,0.5,IP Assignment - Main Office - Lahore,fail,No links or references provided in the task.,fail,Description lacks context and references.,pass,Complete description.,pass,Complete description.,fail,No links or references provided in the description.
Documentation,IT,0.5,IP Assignment - Main Office - Lahore,fail,No links or references provided in the task.,fail,Description lacks context and references.,pass,Complete description.,pass,Complete description.,fail,No links or references provided in the description.
Documentation,IT,0.5,IP Assignment - Main Office - Lahore,fail,No links or references provided in the task.,fail,Description lacks context and references.,pass,Complete description.,pass,Complete description.,fail,No links or references provided in the description.
Documentation,IT,0.5,IP Assignment - Main Office - Lahore,fail,No links or references provided in the task.,fail,Description lacks context and references.,pass,Complete description.,pass,Complete description.,fail,No links or references provided in the description.
Team Discussion,QA,0.43,Huddle with hamza.zahid related to Skygen ticket; BOT-680,fail,No links or references related to the task.,fail,Lacks links or references related to the task.,pass,Complete description.,fail,Description lacks context and specific details about the huddle or the Skygen ticket.,fail,No links or references included in description.
Team Discussion,QA,0.43,Huddle with hamza.zahid related to Skygen ticket; BOT-680,fail,No links or references related to the task.,fail,Lacks links or references related to the task.,pass,Complete description.,fail,Description lacks context and specific details about the huddle or the Skygen ticket.,fail,No links or references included in description.
Team Discussion,QA,0.43,Huddle with hamza.zahid related to Skygen ticket; BOT-680,fail,No links or references related to the task.,fail,Lacks links or references related to the task.,pass,Complete description.,fail,Description lacks context and specific details about the huddle or the Skygen ticket.,fail,No links or references included in description.
Team Discussion,QA,0.43,Huddle with hamza.zahid related to Skygen ticket; BOT-680,fail,No links or references related to the task.,fail,Lacks links or references related to the task.,pass,Complete description.,fail,Description lacks context and specific details about the huddle or the Skygen ticket.,fail,No links or references included in description.
Team Discussion,QA,0.43,Huddle with hamza.zahid related to Skygen ticket; BOT-680,fail,No links or references related to the task.,fail,Lacks links or references related to the task.,pass,Complete description.,fail,Description lacks context and specific details about the huddle or the Skygen ticket.,fail,No links or references included in description.
Coding,Software Engineer,3.0,Added categories to glossary. Asana Ticket: https://app.asana.com/1/1201629421181554/project/1210236830519841/task/1210237072713230?focus=true,pass,Complete description.,pass,Complete description.,pass,Complete description.,pass,Complete description.,pass,Complete description.
Coding,Software Engineer,3.0,Added categories to glossary. Asana Ticket: https://app.asana.com/1/1201629421181554/project/1210236830519841/task/1210237072713230?focus=true,pass,Complete description.,pass,Complete description.,pass,Complete description.,pass,Complete description.,pass,Complete description.
Coding,Software Engineer,3.0,Added categories to glossary. Asana Ticket: https://app.asana.com/1/1201629421181554/project/1210236830519841/task/1210237072713230?focus=true,pass,Complete description.,pass,Complete description.,pass,Complete description.,pass,Complete description.,pass,Complete description.
Coding,Software Engineer,3.0,Added categories to glossary. Asana Ticket: https://app.asana.com/1/1201629421181554/project/1210236830519841/task/1210237072713230?focus=true,pass,Complete description.,pass,Complete description.,pass,Complete description.,pass,Complete description.,pass,Complete description.
Coding,Software Engineer,3.0,Added categories to glossary. Asana Ticket: https://app.asana.com/1/1201629421181554/project/1210236830519841/task/1210237072713230?focus=true,pass,Complete description.,pass,Complete description.,pass,Complete description.,pass,Complete description.,pass,Complete description.
Meeting,POD,1.0,Fresh Hiring & Hiresprint 2025: CT Test Composition,fail,Description lacks context and references.,fail,Description lacks links and context.,pass,Complete description.,pass,Complete description.,fail,No links or references provided in the description.
Meeting,POD,1.0,Fresh Hiring & Hiresprint 2025: CT Test Composition,fail,Description lacks context and references.,fail,Description lacks links and context.,pass,Complete description.,pass,Complete description.,fail,No links or references provided in the description.
Meeting,POD,1.0,Fresh Hiring & Hiresprint 2025: CT Test Composition,fail,Description lacks context and references.,fail,Description lacks links and context.,pass,Complete description.,pass,Complete description.,fail,No links or references provided in the description.
Meeting,POD,1.0,Fresh Hiring & Hiresprint 2025: CT Test Composition,fail,Description lacks context and references.,fail,Description lacks links and context.,pass,Complete description.,pass,Complete description.,fail,No links or references provided in the description.
Meeting,POD,1.0,Fresh Hiring & Hiresprint 2025: CT Test Composition,fail,Description lacks context and references.,fail,Description lacks links and context.,pass,Complete description.,pass,Complete description.,fail,No links or references provided in the description.
Coding,Software Engineer,2.42,[Web-3400] - Handle sentry error for sessions,fail,No links or references related to the task are included.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Description lacks links or references related to the task.
Coding,Software Engineer,2.42,[Web-3400] - Handle sentry error for sessions,fail,No links or references related to the task are included.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Description lacks links or references related to the task.
Coding,Software Engineer,2.42,[Web-3400] - Handle sentry error for sessions,fail,No links or references related to the task are included.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Description lacks links or references related to the task.
Coding,Software Engineer,2.42,[Web-3400] - Handle sentry error for sessions,fail,No links or references related to the task are included.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Description lacks links or references related to the task.
Coding,Software Engineer,2.42,[Web-3400] - Handle sentry error for sessions,fail,No links or references related to the task are included.,fail,Lacks links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Description lacks links or references related to the task.
Meeting,QA Support,0.25,Discussion on Agoda card fee cases in KR flights,fail,No links or references included in the task.,fail,Description lacks links or references.,pass,Complete description.,fail,Lacks context and references related to the discussion on Agoda card fee cases in KR flights.,fail,No links or references related to the task.
